ligand,smile,chiral,n_chiral_atoms,is_specified,n_rings,n_aromatic_rings,n_aliphatic_rings,log_p,tpsa,bb_permeability,hba,hbd,mw,lipinski_rule_of_3,lipinski_rule_of_5,qed_score
best_tafamidis_optimized_v142i.sdf,NCCCc1ccc(cc1)NC=Cc1c(ccnc1)C,False,0,False,2,2,0,4.137400000000001,50.94,0.3772466600000011,3,2.0,267.36874,True,True,0.8434212199846152
diflunisal.sdf,Fc1c(c2cc(c(O)cc2)C(=O)O)ccc(F)c1,False,0,False,2,2,0,3.0356000000000005,57.53,-0.37371495999999954,3,2.0,250.19762639999982,True,True,0.860782458230497
tolcapone.sdf,O=C(c1cc([N+](=O)[O-])c(O)c(O)c1)c1ccc(cc1)C,False,0,False,2,2,0,3.0686,103.35,-1.6259042599999998,3,2.0,273.24084000000005,True,True,0.38710486030618185
tafamidis.sdf,OC(=O)c1ccc2nc(oc2c1)c1cc(cc(c1)Cl)Cl,False,0,False,3,3,0,4.4998000000000005,63.33,0.2210058200000003,3,1.0,308.11628,True,True,0.7567932345434784
acoramidis.sdf,O=C(O)c1cc(c(cc1)F)OCCCc1c(C)[nH]nc1C,False,0,False,2,2,0,2.8754,75.21000000000001,-0.9460981400000001,5,2.0,292.30548320000025,True,True,0.8027227041421029
best_y98f_T4.sdf,c1c(ccc(C)c1)C(=O)NC(=O)NCc1ccc(C)cc1,False,0,False,2,2,0,3.7248000000000028,58.2,-0.03671567999999831,4,2.0,282.33702,True,True,0.9090000637725217
