,generation,score,fatemol,smiles,fate,mol
13,2,0.74,,Cc1cc(S)cc(C=C2Sc3cc(N(N)O)ccc32)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f9120>
14,2,0.89,,CC(=O)c1ccc2nc(-c3cc(C)cc(C)c3)sc2c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8b30>
15,2,0.87,,O=[N+]([O-])c1ccc2nc(-c3cc(Cl)cc(Cl)c3)[nH]c2c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f9260>
16,2,0.76,,CC(O)c1ccc2c(c1)CC(c1cc(O)cc(F)c1)O2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18630>
17,2,0.64,,CN(O)c1ccc2c(c1)CC(C1=CC(=O)N=C(N)C1)S2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f9da0>
18,2,0.62,,O=C(S)C1=NC2=COC(c3cc(O)cc(F)c3)CN2N1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f96c0>
19,2,0.79,,O=C(O)c1ccc2c(c1)SC(c1cc(F)cc(F)c1)C2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b0495ad2a20>
20,2,0.88,,CN(C)C1CCC(C(=O)Nc2cc(Cl)cc(Cl)c2)CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fbc40>
21,3,0.65,,O=C(O)C1=CC2SN(c3cc(O)cc(Cl)c3)CC2CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fba60>
22,3,0.64,,CC1CN(C=NC(=S)c2cc(N(C)C)no2)CCO1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddaa20>
23,3,0.81,,F.O=[N+]([O-])c1ccc2c(c1)OC(c1cccc(Cl)c1)C2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f9c10>
24,3,0.69,,O=C(O)N1CCC(C2NC(c3cc(F)cc(F)c3)S2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19350>
25,3,0.82,,O=[N+]([O-])c1ccc(C(O)Cc2cc(O)cc(F)c2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd956c0>
26,3,0.75,,CN(O)c1ccc2c(c1)CC(c1cc(O)cc(F)c1)O2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19260>
27,3,0.7,,N=C1CC(c2nc3ccc([N+](=O)[O-])cc3s2)=CC(N)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19210>
28,3,0.63,,Cc1cc(C(=O)NCC2NCC(C(=O)O)S2)[nH]c1CO,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc193a0>
29,3,0.7,,Cc1cc(O)cc(C=C=C2C=C(C(N)=O)CC=C2F)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fad40>
30,3,0.81,,F.N#Cc1cc2nc(-c3cc(F)cc(F)c3)oc2cn1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc191c0>
31,4,0.7,,CC(C)C1=CCC(C(O)Nc2cc(F)cc(F)c2)CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f91c0>
32,4,0.77,,Cc1cc(Cl)cc(C2Cc3cc(C(N)=O)ccc3N2)n1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8cc0>
33,4,0.74,,CCCC(C)C=C(C)c1nc2ccc(C#N)cc2[nH]1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8fe0>
34,4,0.7,,O=[N+]([O-])C1CCC2CN(c3cc(F)cc(F)c3)CC2C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fa430>
35,4,0.66,,C=CC1=CC(C)=CCC=C1.CC(=O)C=CC(C)C(=O)O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f98f0>
36,4,0.68,,O=[N+]([O-])C1=CCN2CC(c3cc(F)cc(F)c3)SC2=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1a570>
37,4,0.86,,Cc1cc(F)cc(C(N)=O)c1.O=C(O)C1CCNCC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1a520>
38,4,0.49,,CC(=O)C1=CCC2(CC1)SC2CN1CC(C)CC(C)N1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19940>
39,4,0.69,,CC1=CC(C)SC(CNC(=O)c2cc(C(C)C)no2)=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1a610>
40,4,0.58,,CSC1=NC(C(=O)NCC2=CC(C(N)=O)N=N2)=NC1=S,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1a5c0>
41,5,0.85,,F.NC(=O)c1ccc(CC(O)c2cccc(O)c2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fb6f0>
42,5,0.69,,CC1CC(C2Cc3ccc(C(N)=O)cc3N2)C(=O)O1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8c70>
43,5,0.49,,F.N#CC1CC2=CC(C3CCN=CC(=O)C3)SCC2O1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd964d0>
44,5,0.66,,O=C(O)C1=CCC(C(=O)OC2=CC(=S)CC(O)=C2)CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd95c10>
45,5,0.78,,NN(O)c1cccc(C=C(O)c2cc(O)cc(F)c2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b380>
46,5,0.56,,CC(=O)C1CC(C(=O)C=C=C2CC(C)CC(N)C2)CN1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b470>
47,5,0.76,,O=[N+]([O-])c1ccc2c(c1)SC(c1cc(F)cc(F)c1)N2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd94630>
48,5,0.59,,O=C(O)C1C=CC=CC(CSC2C=C(F)C=CC2=O)=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd965c0>
49,5,0.62,,CCC1NC(S(=O)Cc2ccc(C(C)N)cc2)CC1=S,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b3d0>
50,5,0.83,,CC(O)CN(CCCc1ccc(C(=O)O)cc1)C1CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b2e0>
51,6,0.49,,CC1CC(O)SC(NC(O)C2=CNN(C(=N)N)C=C2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd962a0>
52,6,0.78,,CCCN(CC(C)O)NCCc1ccc(C(N)=O)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd97a10>
53,6,0.83,,N=C(N)c1cccc(C=C(O)c2cc(O)cc(F)c2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04e2924130>
54,6,0.75,,CC1(C)OC1CCCc1nc2cnc(C(=O)O)cc2s1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd8400>
55,6,0.64,,CCC1N=C(C)NC1C1Cc2cc(C(C)=O)ccc2S1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd95a30>
56,6,0.89,,Cc1cc(Cl)cc(NC(=O)C2CCN(C(N)=O)CC2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd98f0>
57,6,0.79,,CCc1nc(C(=O)CC2CCC(C(=O)O)CC2)sc1N,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04e291d1c0>
58,6,0.71,,Cc1ccc(O)c(CCC2=CCCC(C3CC3O)C2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b5b0>
59,6,0.55,,C=C(C)C1CNN(C(=O)CCC2CC(Cl)C=C(C)S2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd96b60>
60,6,0.64,,C.CC1CNCCC(c2ccc3c(c2)CC(C#N)S3)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc64590>
61,7,0.53,,C=C(C)C1=CSC(C(F)CC2=CC(O)CC(N)C2)=CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd949f0>
62,7,0.82,,CC(=N)c1cccc(SC(=O)c2cc(C)cc(F)c2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd9f80>
63,7,0.89,,Cc1cc(O)cc(OCCc2ccc(N(C)C)cc2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f9490>
64,7,0.54,,CC(C(=O)NC1=CCN([N+](=O)[O-])C=C1)C1CC1(O)OO,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd96e30>
65,7,0.67,,CC1CCCCC(=CCC2CCCC(C3(O)CC3)C2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd94bd0>
66,7,0.54,,C.CCC(=O)NC1OC(C#CC(C)CNCF)OC1=O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd95620>
67,7,0.5,,CC1C=C(C(C)C(F)N2COC(C3CO3)C2)N(CS)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66110>
68,7,0.49,,CC1SC(CCC(=O)N2CSC(CNF)C2)C2C(C)N12,survived,<rdkit.Chem.rdchem.Mol object at 0x7b0496730ae0>
69,7,0.55,,CC1CC(Cl)CC(NC(=O)C2C=CC(C(=O)O)CC2)S1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddac50>
70,8,0.63,,CC1CC(NCCN2C=CC(N(C)C)=CC2)=NC(=S)N1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18d10>
71,8,0.8,,Cc1cc(N)cc(C(=O)Sc2cccc(N(C)O)c2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b560>
72,8,0.71,,FC(F)(F)c1cccc(CCC2=CC(Cl)C=NC=C2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd97d80>
73,8,0.77,,NC(=O)c1ccc(C(=O)NC2C=C(Cl)NC(=O)C2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19620>
74,8,0.9,,CC(=O)OC(C)=O.CCCCc1ccc(C(N)=O)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd94d10>
75,8,0.58,,C.CCNC(=O)C1CC(C=NC(C)NCOC)OC1=O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66f70>
76,8,0.73,,O=C=NC1CCC(C2CN2c2cc(F)cc(Cl)c2)CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66ac0>
77,8,0.53,,CCCC(C(C)CO)C1(O)OC1N1CCC(C(=O)O)S1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66ed0>
78,8,0.64,,C=CSC(CNCO)CNC(=O)c1ccc(N(C)N)o1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66f20>
79,8,0.53,,CC1CC(CNC(=O)C2CSC(C(=N)N)C2)SC(C)N1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc67010>
80,9,0.7,,C[SH]1CCCC(NC(=O)Cc2ccc(C(=O)O)cc2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fb600>
81,9,0.88,,Cc1cc(N)cc(C(=O)Cc2cccc(N(C)C)c2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18b30>
82,9,0.89,,C.O=C(CC1CCCCCC1)c1ccc(C2CC2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b0b0>
83,9,0.77,,CCNC1=NCC(C(=O)Nc2cc(F)cc(F)c2)=CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc185e0>
84,9,0.73,,CC(C)Cc1cccc(C=CC2=CC(Cl)C=CC=C2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19710>
85,9,0.7,,CC.CCCCCCCNC(=O)C1CC(C(=O)O)SN1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04842cfb00>
86,9,0.89,,Cc1cc(F)cc(OCCc2ccc(C(=N)N)cc2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1a480>
87,9,0.5,,C.CCCC(=O)C1NN(C[SH]2CCCOC2C)CC1=O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18270>
88,9,0.41,,NC(=O)C1C=C(COC(Cl)C2C[SH](O)OC2CS)C=N1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd94900>
89,9,0.56,,CC(CC1CC1)SCCNC(=O)C1CC2C[SH]21.CCO,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18360>
90,10,0.6,,CC1CC(O)CC(CCCC2C=CC(C(=O)O)CC2)N1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc649a0>
91,10,0.57,,CCCC1C=CC(C(O)NC2=CC(C)C=CC=C2)CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18040>
92,10,0.8,,CC(N)c1cc(CC(=O)c2cc(Cl)cc(Cl)c2)ccn1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd8c20>
93,10,0.65,,C=CNC1CCC(C(=O)NC2CC(F)=CC(Cl)C2)CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd8bd0>
94,10,0.7,,CC(C)Nc1ccc(N=CC2=CC(F)C=CC=C2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd95760>
95,10,0.7,,C[SH](C)CC(CO)NC(=S)Cc1ccc(C(=O)O)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd96980>
96,10,0.51,,C=CC1C(CC=S)C1CCC(O)=C1CSC(C(=O)O)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd96610>
97,10,0.68,,CC(CCCCC(=O)C1CSC(C(=O)O)=N1)NC1CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc94ef0>
98,10,0.68,,C.C=COC(=O)c1cn(CC2CCCCC2C)cc1C,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd94860>
99,10,0.45,,C=C1NC2(CC2)C(C(O)CNC2=CC(C(N)=O)N=C2)S1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd94e0>
100,11,0.87,,N=C(N)c1cc(NC(=O)c2cc(Cl)cc(Cl)c2)ccn1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66c50>
101,11,0.57,,COC=NC1CC=C(CNC2=CC(Cl)C=CC=C2)CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc671a0>
102,11,0.8,,CCC(O)C(CO)NC(=O)Nc1ccc(C(C)=O)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc95b20>
103,11,0.63,,CC(=O)NC1C(O)C1CSC(=O)C(O)NC(=O)C(C)C,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66390>
104,11,0.57,,C.CCC(CN1C=C(O)C(C(=O)NCS)C1)N(C)CN,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc94a90>
105,11,0.83,,CNCc1ccc(C(O)Cc2cc(C)cc(O)c2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd97060>
106,11,0.8,,CC1=NC(=S)N=C(SCCc2ccc(C(=O)O)cc2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96020>
107,11,0.82,,CCOc1ccc(C(=O)NC2CCCCC(F)C2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc95ee0>
108,11,0.68,,CCC=C=C(CCC)CCN(C)C(=O)CC(O)C(N)=O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc95ad0>
109,11,0.54,,CC(N)c1ncc(NCC(F)C2=CCC=CC23CC3)s1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96070>
110,12,0.62,,C=C(C)C1C=CC=C(SC(O)c2cc(C)cc(O)c2)S1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd9030>
111,12,0.67,,O=C1C(CCF)N1CCC1CC1c1cc(O)cc(O)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd8130>
112,12,0.74,,O=C(NC1=CC(F)C=CC=C1)c1ccc(OCO)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddaca0>
113,12,0.73,,NC(=S)NC(=C=O)CC=C=Cc1ccc(C(=O)O)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc64360>
114,12,0.56,,CCC1(O)[SH]2C[SH](C(=O)Nc3ccc(C(N)=O)cc3)[SH]21,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96b60>
115,12,0.7,,C=C(CCC(CCC)C(C)(C)F)C(=O)NC(=O)C(N)=O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96ac0>
116,12,0.61,,CC(=NC(O)CNC=O)C(C)C.NC(=O)NCC(N)S,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc97010>
117,12,0.9,,N#CCCc1ccc(CNCc2ccccc2Cl)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96f70>
118,12,0.81,,C.CCNC(=O)c1cccc(CC2CCCOC2)c1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19fd0>
119,12,0.86,,COc1ccccc1C(=O)CCc1cnc(C(=O)O)s1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96f20>
120,13,0.93,,CCCOc1ccc(CCCc2ccccc2C)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd9850>
121,13,0.64,,COC1OCCCC1C(O)C=Cc1coc(C(=O)O)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fb2e0>
122,13,0.69,,CCNC(=O)c1cccc(NCC2NCNC2S)c1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19da0>
123,13,0.67,,CC1C=CC=CC(NC(=O)C2=CCC(CO)CCC2)=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda110>
124,13,0.78,,CNC(CCCCc1ccc(C(N)=O)cc1)NC(N)=S,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc187c0>
125,13,0.54,,CC([SH]=CC1(C2(C)CO2)OC1=N)C(O)CC1CCCC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18a90>
126,13,0.64,,CCC#CC(=O)NCCCCC1(C)C=C(C)N=CC1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18e00>
127,13,0.89,,O=C(O)c1cc(O)cc(Cl)c1.O=C(O)c1cccnc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda200>
128,13,0.64,,CC(C)NC1SC1NC(=O)NCC(=O)NC(C)CC=O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc192b0>
129,13,0.75,,C=C(Nc1ccc(C(C)C)cc1)C12CC1O2.CC(C)C,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1b880>
130,14,0.84,,OCCOc1ccc(CN=Cc2cccnc2Cl)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1bb00>
131,14,0.66,,CC(=O)c1cc(CS(=O)C2=CC(=O)CC(F)C2)ccn1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd8b80>
132,14,0.66,,C.COC1(CO)CC1CCSc1ccc(C(N)=O)nc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fbe20>
133,14,0.71,,CC(=O)c1ccc(CC(S)CC(C)(O)CC(C)O)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1afc0>
134,14,0.63,,C=CCC(=O)c1cncc(N=NC2CCNN2C)c1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19e90>
135,14,0.73,,C1CCC2CCN2CC1.F.O=CCC1CC=CCCC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc19ad0>
136,14,0.62,,CC(=O)C1C=CC(CCC(O)=C2CCCCC(C)N2)=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd9da0>
137,14,0.64,,CCC(C=CO)CCCC(=O)NC1CC(=S)N=C(C)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddbf60>
138,14,0.62,,CC(=S)CNCCCC(=S)NCC(=N)NCC1CC1O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd9c10>
139,14,0.48,,C[SH](CSC(C(N)=O)C1(C)CC1)C(=O)NC1=NCNS1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda430>
140,15,0.89,,Cc1ccccc1CNCc1ccc(OCCO)cn1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1aed0>
141,15,0.53,,ClC1CC=CCC(C2CC2C2CC=C3ON=C3NC2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddaf20>
142,15,0.58,,CCSC1=CCC2=CC(S(=O)(=O)NC3CO3)=CSC2=N1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc670b0>
143,15,0.83,,NC(=O)c1cccc(NCSc2cc(N)cc(F)c2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc660c0>
144,15,0.64,,C=O.C[SH](N)c1ccc(CC=CCNCCO)cc1.N,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1a700>
145,15,0.73,,C#CC(CCC)CCC=C(O)Cc1cccc(F)c1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc66200>
146,15,0.75,,CCCC(=O)c1cccc(NCC2C=CC=C2O)c1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddb1f0>
147,15,0.6,,CC1=CC=NC=C(C(=O)NCC2CC(C(N)=O)CS2)O1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1a8e0>
148,15,0.73,,CC(C)CCCC(C)CNC(=O)CC1CC1CC(C)C,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbdcb0>
149,15,0.54,,CC(CC1CCCS1)C1SC1CC(C(=O)O)C(O)CO,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbdad0>
150,16,0.9,,Nc1ccccc1CNCc1ccc(OC2CC2)cc1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc94cc0>
151,16,0.66,,NC1=NC(SCNc2ccnc(C(=O)O)c2)CC(F)=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc1bc40>
152,16,0.71,,CCOC(=O)c1cccc(SCC2CNNC2=N)c1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc67ec0>
153,16,0.78,,C=C(C)CCOC(=O)CNC(=O)CCCNCN=O.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96a20>
154,16,0.75,,CCC(COC)SCNC(=O)Cc1cccc(C)c1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc180e0>
155,16,0.8,,C.c1cc(C2CC2)ccc1NCCNCC1CCCN1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc18720>
156,16,0.58,,CC1CCCC=C(C(O)NCC2=CC(C(=O)O)C=N2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbec50>
157,16,0.59,,CCCC1CSC(c2ncc(C(C)(C)CC3OO3)o2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdd8720>
158,16,0.49,,CC(O)[SH](CCCC(O)CC1CCNC1)C(O)[SH]=O.O,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddbd80>
159,16,0.57,,C=C1CCCCC(C2CC2C2=CC=c3[nH][nH]c3=CC2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbeb60>
160,17,0.75,,NC1=C(NCCc2cnc(CCCF)cn2)CCCN1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc96ca0>
161,17,0.83,,CCCC=CCCC=CCc1ccc(C(N)=O)cc1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc97100>
162,17,0.73,,C=C(O)CNCCCC(O)CCNCCCNC(N)=S,survived,<rdkit.Chem.rdchem.Mol object at 0x7b0496730950>
163,17,0.69,,CCCC(CC)CCNC(=O)CC1=CCCC(Cl)C1.F,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc97a60>
164,17,0.67,,CC(O)C(O)c1cccc(CSC2=C(N)NCS2)c1.Cl,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bc65c10>
165,17,0.68,,CC(Cc1cccc(C(N)=O)c1)C1CNC=C(C#N)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bddbfb0>
166,17,0.61,,C=C(C)NC(C)(C)N1CSC(C(C)SCCCCC)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbfce0>
167,17,0.58,,CC1C=CC=CC(C=NCC(O)CC(CO)C(N)=O)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbddf0>
168,17,0.61,,O=CC1=CCCC(CCCC(CC(=O)S)NCO)C=C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8770>
169,17,0.52,,CC(O)C(C=[SH]C(O)C(C)CC1CCNC1)C(O)CN,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bcbfd80>
170,18,0.72,,CC1CCCOC(C=CCc2ccc(C(C)N)cc2)C1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda5c0>
