,generation,score,fatemol,smiles,fate,mol
0,0,0.88,,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,initial,<rdkit.Chem.rdchem.Mol object at 0x7b0484269c40>
1,1,0.87,,Cc1cc(F)cc(-c2nc3ccc(C(N)=O)cc3[nH]2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8bd0>
2,1,0.8,,Cc1cc(N2Nc3ccc(C(N)=O)cc3N2)cc(C)n1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8810>
3,1,0.81,,O=C(O)c1ccc2c(c1)CC(c1cc(Cl)cc(Cl)c1)N2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955f8ae0>
4,1,0.81,,O=C(S)c1cnc2sc(-c3cc(Cl)cc(Cl)c3)nc2c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda840>
5,1,0.87,,CC(=O)c1ccc2nc(-c3cc(N)cc(Cl)c3)sc2c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda390>
6,1,0.88,,NC(=O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)[nH]c2c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda2f0>
7,1,0.81,,O=C(F)c1cnc2sc(-c3cc(Cl)cc(Cl)c3)cc2c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda8e0>
8,1,0.88,,Cc1cc(Cl)cc(-c2nc3ccc(C(=O)O)cc3[nH]2)c1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda930>
9,1,0.75,,O=[N+]([O-])c1ccc2c(c1)OC(c1cc(Cl)nc(Cl)c1)O2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bdda980>
10,1,0.76,,CC(O)c1ccc2c(c1)NC(c1cc(Cl)cc(Cl)c1)C2,survived,<rdkit.Chem.rdchem.Mol object at 0x7b0472a24040>
11,2,0.66,,NC(=O)C1CCC(C=NC(=O)c2cc(F)cc(Cl)c2)S1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b045bd95300>
12,2,0.77,,O=C(Nc1cc(Cl)nc(Cl)c1)C1=CC=C([N+](=O)[O-])CC1,survived,<rdkit.Chem.rdchem.Mol object at 0x7b04955fa070>
