, mCSM, SDM,DUET,DynaMut2,DDGun,SAAFEC
 mCSM,1.0,0.40903721417934336,0.963694799820766,0.8588844939799101,0.4784461018923398,0.5173297670403227
 SDM,0.40903721417934336,1.0,0.6138347265269646,0.302437439363386,0.3230316731573,0.44769323184564686
DUET,0.963694799820766,0.6138347265269646,1.0,0.827377625287322,0.5007300072208624,0.5622496968536244
DynaMut2,0.8588844939799101,0.302437439363386,0.827377625287322,1.0,0.4039914104709986,0.4428121210863951
DDGun,0.4784461018923398,0.3230316731573,0.5007300072208624,0.4039914104709986,1.0,0.6468731012696823
SAAFEC,0.5173297670403227,0.44769323184564686,0.5622496968536244,0.4428121210863951,0.6468731012696823,1.0
